"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.10196891737914,3.04245406150904,-0.362197389048683,0.717204530531785
"age",0.022898902787632,0.00400565356647545,5.71664583759314,0.0000000108647228465572
"age2",-0.016990521722024,0.00516637827041096,-3.28867164437661,0.00100661384767351
"age3",-0.00790890564491775,0.00326170383366938,-2.42477737042738,0.015317777037177
"sexF",0.0482777490557924,0.0189489480003034,2.54777991131853,0.0108410842338478
"hcc_date_init1",0.732944106947686,0.0486043025144366,15.0798194610443,0.0000000000000000000000000000000000000000000000000021986934997204
"sodium_lab_miss1",-5.85988543016074,3.00713410967172,-1.94866115592046,0.0513359035219402
"sodium_lab",-0.0398599587525891,0.0227137583288627,-1.75488169661198,0.0792795455626817
"sodium_lab2",0.00982291343705088,0.0250923102293629,0.391471066125915,0.695449071557219
"creat_lab_miss1",-0.280049862247,0.173089602408802,-1.61794734258838,0.105673946286587
"creat_lab",-1.0177760936083,0.30481208339895,-3.33902804068366,0.000840720773777525
"creat_lab2",1.26886747610458,0.333475854153959,3.80497556359438,0.000141818190924097
"creat_lab3",-0.051121444211706,0.098047517201658,-0.52139458163497,0.602091925246796
"platelet_lab_miss1",-0.823071353656441,0.100142165978871,-8.21902887371236,0.000000000000000205157649932108
"platelet_lab",-0.00663280717230829,0.00104269994091717,-6.36118495074813,0.000000000200203199361829
"platelet_lab2",0.00379627002903422,0.00116187959348898,3.26735235760058,0.0010855847357297
"platelet_lab3",0.00388172287422922,0.000771902086300376,5.02877624393244,0.000000493619994245345
"albumin_lab_miss1",-0.22059921396755,0.0812314567995133,-2.71568703380525,0.00661384067594555
"albumin_lab",-0.130049684103737,0.0198261812930163,-6.55949232894115,0.0000000000539912707910141
"albumin_lab2",-0.20253885749975,0.117601263205059,-1.72225069680235,0.0850241147287262
"inr_lab_miss1",3.24488879382859,0.422135582257148,7.68684027173985,0.0000000000000150813224985085
"inr_lab",2.99702998180266,0.38435672314711,7.79752194071955,0.00000000000000631346631038654
"inr_lab2",-2.96355005794429,0.4739386382005,-6.25302479915249,0.000000000402578182180618
"inr_lab3",-0.131511767235182,0.19576264414791,-0.671791943798111,0.501716158184907
"bilirubin_lab_miss1",0.743173178685896,0.0767427921326826,9.68394761296937,0.000000000000000000000352823359562588
"bilirubin_lab",0.755953311779231,0.0435223359869656,17.3693184117146,0.000000000000000000000000000000000000000000000000000000000000000000140889526431684
"bilirubin_lab3",-0.736531853529996,0.0469699938096076,-15.6809016521382,0.000000000000000000000000000000000000000000000000000000204332958585475
"myocardial_date_init1",0.0136579259200248,0.0349733901018274,0.390523363055706,0.696149582817904
"heart_fail_date_init1",0.288125380567253,0.0253804569296621,11.3522534825022,0.00000000000000000000000000000722755733547809
"periph_date_init1",-0.0385756333574724,0.0249435385430584,-1.54651808086017,0.121979496832755
"cerebro_date_init1",0.0010017433431079,0.0286161255926679,0.0350062533750051,0.972074754458775
"dementia_date_init1",0.187460340344926,0.0450338513842625,4.16265397212809,0.0000314569885030302
"pulmonary_date_init1",0.00597011516898096,0.0209062071859653,0.285566631760389,0.775210063600044
"rheumatic_date_init1",0.010546953222242,0.0382336161113194,0.275855498248818,0.782659055356809
"ulcer_date_init1",0.0700208115736498,0.0481089930986736,1.45546200540997,0.145541401407944
"diab_unc_date_init1",0.00934076900325068,0.0221026487873889,0.422608579320151,0.672580866075429
"paralysis_date_init1",0.16530059249298,0.0652750934604981,2.53236853031874,0.0113294846616368
"diab_com_date_init1",0.0721019254430862,0.0264730924628127,2.72359285355004,0.00645760602695227
"malignancy_date_init1",0.0822273119998842,0.0289939815310557,2.83601311919889,0.00456805695203965
"meta_cancer_date_init1",0.304961585109867,0.0511482584704863,5.96230632731781,0.00000000248702344513226
"aids_date_init1",0.68299355145078,0.276443033662557,2.47064844572818,0.0134868330537716
"renal_mild_date_init1",0.0610694659884265,0.0280076099936264,2.1804597394181,0.0292234000632049
"renal_severe_date_init1",0.319835049632873,0.0435010610258563,7.35235054250215,0.000000000000194751244315817
"etiology_m0nALD",0.43163390478459,0.0505271453051566,8.54261411717909,0.0000000000000000131219009636912
"etiology_m0nMETALD",0.485741835343745,0.027030710454614,17.9699988337092,0.00000000000000000000000000000000000000000000000000000000000000000000000334721798074952
"etiology_m0nHCV",-0.00598537051741443,0.0294854077774757,-0.202994327315586,0.839139466056908
"etiology_m0nHBV",-0.370030806521471,0.0847044919767967,-4.36849094877796,0.0000125108001281587
"etiology_m0nBiliary",-0.426193100858598,0.047768342284573,-8.92208271159201,0.000000000000000000457600271459055
"etiology_m0nOther",-0.0904539445861985,0.0596721811421405,-1.51584780135211,0.129557841794578
"etiology_m0n2+ Etiologies",0.0332484628668433,0.0344635189557108,0.964743702161439,0.334673200177432
"etiology_m0nUnknown",0.00772360309341266,0.060820225561867,0.126990701235663,0.898947758301904
